 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 2.00  6250. -2.0  2.0   0.0102
 2.50  6250. -2.0  2.0   0.2370
 2.50  6250. -2.0  2.0   0.2762
 2.50  6250. -2.0  2.0   0.0091
 3.00  6250. -2.0  2.0   0.2338
 3.00  6250. -2.0  2.0   0.2783
 3.00  6250. -2.0  2.0   0.0081
 3.50  6250. -2.0  2.0   0.2299
 3.50  6250. -2.0  2.0   0.2822
 3.50  6250. -2.0  2.0   0.0070
 4.00  6250. -2.0  2.0   0.2245
 4.00  6250. -2.0  2.0   0.2859
 4.00  6250. -2.0  2.0   0.0067
 4.50  6250. -2.0  2.0   0.2181
 4.50  6250. -2.0  2.0   0.2901
 4.50  6250. -2.0  2.0   0.0068
 5.00  6250. -2.0  2.0   0.2038
 5.00  6250. -2.0  2.0   0.2997
 5.00  6250. -2.0  2.0   0.0082
 0.50  6500. -2.0  2.0   0.3629
 0.50  6500. -2.0  2.0   0.1926
 0.50  6500. -2.0  2.0   0.0039
 1.00  6500. -2.0  2.0   0.3468
 1.00  6500. -2.0  2.0   0.1940
 1.00  6500. -2.0  2.0   0.0046
 1.50  6500. -2.0  2.0   0.3171
 1.50  6500. -2.0  2.0   0.2038
 1.50  6500. -2.0  2.0   0.0079
 2.00  6500. -2.0  2.0   0.2284
 2.00  6500. -2.0  2.0   0.2747
 2.00  6500. -2.0  2.0   0.0129
 2.50  6500. -2.0  2.0   0.2199
 2.50  6500. -2.0  2.0   0.2855
 2.50  6500. -2.0  2.0   0.0097
 3.00  6500. -2.0  2.0   0.2224
 3.00  6500. -2.0  2.0   0.2823
 3.00  6500. -2.0  2.0   0.0084
 3.50  6500. -2.0  2.0   0.2243
 3.50  6500. -2.0  2.0   0.2800
 3.50  6500. -2.0  2.0   0.0072
 4.00  6500. -2.0  2.0   0.2229
 4.00  6500. -2.0  2.0   0.2801
 4.00  6500. -2.0  2.0   0.0066
 4.50  6500. -2.0  2.0   0.2180
 4.50  6500. -2.0  2.0   0.2845
 4.50  6500. -2.0  2.0   0.0062
 5.00  6500. -2.0  2.0   0.2084
 5.00  6500. -2.0  2.0   0.2909
 5.00  6500. -2.0  2.0   0.0068
 0.50  6750. -2.0  2.0   0.3442
 0.50  6750. -2.0  2.0   0.2134
 0.50  6750. -2.0  2.0   0.0047
 1.00  6750. -2.0  2.0   0.3413
 1.00  6750. -2.0  2.0   0.2035
 1.00  6750. -2.0  2.0   0.0039
 1.50  6750. -2.0  2.0   0.3244
 1.50  6750. -2.0  2.0   0.2058
 1.50  6750. -2.0  2.0   0.0044
 2.00  6750. -2.0  2.0   0.2827
 2.00  6750. -2.0  2.0   0.2267
 2.00  6750. -2.0  2.0   0.0083
 2.50  6750. -2.0  2.0   0.2121
 2.50  6750. -2.0  2.0   0.2831
 2.50  6750. -2.0  2.0   0.0119
 3.00  6750. -2.0  2.0   0.2083
 3.00  6750. -2.0  2.0   0.2903
 3.00  6750. -2.0  2.0   0.0085
 3.50  6750. -2.0  2.0   0.2130
 3.50  6750. -2.0  2.0   0.2842
 3.50  6750. -2.0  2.0   0.0075
 4.00  6750. -2.0  2.0   0.2148
 4.00  6750. -2.0  2.0   0.2816
 4.00  6750. -2.0  2.0   0.0067
 4.50  6750. -2.0  2.0   0.2148
 4.50  6750. -2.0  2.0   0.2806
 4.50  6750. -2.0  2.0   0.0061
 5.00  6750. -2.0  2.0   0.2080
 5.00  6750. -2.0  2.0   0.2861
 5.00  6750. -2.0  2.0   0.0062
 0.50  7000. -2.0  2.0   0.3170
 0.50  7000. -2.0  2.0   0.2422
 0.50  7000. -2.0  2.0   0.0059
 1.00  7000. -2.0  2.0   0.3199
 1.00  7000. -2.0  2.0   0.2242
 1.00  7000. -2.0  2.0   0.0050
 1.50  7000. -2.0  2.0   0.3190
 1.50  7000. -2.0  2.0   0.2134
 1.50  7000. -2.0  2.0   0.0039
 2.00  7000. -2.0  2.0   0.3005
 2.00  7000. -2.0  2.0   0.2172
 2.00  7000. -2.0  2.0   0.0046
 2.50  7000. -2.0  2.0   0.2588
 2.50  7000. -2.0  2.0   0.2390
 2.50  7000. -2.0  2.0   0.0084
 3.00  7000. -2.0  2.0   0.1959
 3.00  7000. -2.0  2.0   0.2931
 3.00  7000. -2.0  2.0   0.0102
 3.50  7000. -2.0  2.0   0.1992
 3.50  7000. -2.0  2.0   0.2914
 3.50  7000. -2.0  2.0   0.0079
 4.00  7000. -2.0  2.0   0.2018
 4.00  7000. -2.0  2.0   0.2881
 4.00  7000. -2.0  2.0   0.0070
 4.50  7000. -2.0  2.0   0.2063
 4.50  7000. -2.0  2.0   0.2836
 4.50  7000. -2.0  2.0   0.0061
 5.00  7000. -2.0  2.0   0.2042
 5.00  7000. -2.0  2.0   0.2841
 5.00  7000. -2.0  2.0   0.0059
 0.50  7250. -2.0  2.0   0.2880
 0.50  7250. -2.0  2.0   0.2709
 0.50  7250. -2.0  2.0   0.0073
 1.00  7250. -2.0  2.0   0.2869
 1.00  7250. -2.0  2.0   0.2552
 1.00  7250. -2.0  2.0   0.0066
 1.50  7250. -2.0  2.0   0.2934
 1.50  7250. -2.0  2.0   0.2354
 1.50  7250. -2.0  2.0   0.0052
 2.00  7250. -2.0  2.0   0.2946
 2.00  7250. -2.0  2.0   0.2243
 2.00  7250. -2.0  2.0   0.0039
 2.50  7250. -2.0  2.0   0.2731
 2.50  7250. -2.0  2.0   0.2318
 2.50  7250. -2.0  2.0   0.0048
 3.00  7250. -2.0  2.0   0.2240
 3.00  7250. -2.0  2.0   0.2618
 3.00  7250. -2.0  2.0   0.0092
 3.50  7250. -2.0  2.0   0.1804
 3.50  7250. -2.0  2.0   0.3003
 3.50  7250. -2.0  2.0   0.0097
 4.00  7250. -2.0  2.0   0.1864
 4.00  7250. -2.0  2.0   0.2963
 4.00  7250. -2.0  2.0   0.0075
 4.50  7250. -2.0  2.0   0.1923
 4.50  7250. -2.0  2.0   0.2907
 4.50  7250. -2.0  2.0   0.0064
 5.00  7250. -2.0  2.0   0.1941
 5.00  7250. -2.0  2.0   0.2881
 5.00  7250. -2.0  2.0   0.0059
 0.50  7500. -2.0  2.0   0.2699
 0.50  7500. -2.0  2.0   0.2876
 0.50  7500. -2.0  2.0   0.0091
 1.00  7500. -2.0  2.0   0.2600
 1.00  7500. -2.0  2.0   0.2781
 1.00  7500. -2.0  2.0   0.0088
 1.50  7500. -2.0  2.0   0.2641
 1.50  7500. -2.0  2.0   0.2595
 1.50  7500. -2.0  2.0   0.0073
 2.00  7500. -2.0  2.0   0.2730
 2.00  7500. -2.0  2.0   0.2396
 2.00  7500. -2.0  2.0   0.0055
 2.50  7500. -2.0  2.0   0.2742
 2.50  7500. -2.0  2.0   0.2307
 2.50  7500. -2.0  2.0   0.0040
 3.00  7500. -2.0  2.0   0.2477
 3.00  7500. -2.0  2.0   0.2443
 3.00  7500. -2.0  2.0   0.0055
 3.50  7500. -2.0  2.0   0.1920
 3.50  7500. -2.0  2.0   0.2846
 3.50  7500. -2.0  2.0   0.0094
 4.00  7500. -2.0  2.0   0.1743
 4.00  7500. -2.0  2.0   0.3005
 4.00  7500. -2.0  2.0   0.0085
 4.50  7500. -2.0  2.0   0.1797
 4.50  7500. -2.0  2.0   0.2959
 4.50  7500. -2.0  2.0   0.0072
 5.00  7500. -2.0  2.0   0.1831
 5.00  7500. -2.0  2.0   0.2922
 5.00  7500. -2.0  2.0   0.0064
 1.00  7750. -2.0  2.0   0.2394
 1.00  7750. -2.0  2.0   0.2940
 1.00  7750. -2.0  2.0   0.0111
 1.50  7750. -2.0  2.0   0.2376
 1.50  7750. -2.0  2.0   0.2792
 1.50  7750. -2.0  2.0   0.0097
 2.00  7750. -2.0  2.0   0.2448
 2.00  7750. -2.0  2.0   0.2601
 2.00  7750. -2.0  2.0   0.0076
 2.50  7750. -2.0  2.0   0.2543
 2.50  7750. -2.0  2.0   0.2420
 2.50  7750. -2.0  2.0   0.0056
 3.00  7750. -2.0  2.0   0.2527
 3.00  7750. -2.0  2.0   0.2384
 3.00  7750. -2.0  2.0   0.0044
 3.50  7750. -2.0  2.0   0.2185
 3.50  7750. -2.0  2.0   0.2603
 3.50  7750. -2.0  2.0   0.0066
 4.00  7750. -2.0  2.0   0.1666
 4.00  7750. -2.0  2.0   0.3000
 4.00  7750. -2.0  2.0   0.0101
 4.50  7750. -2.0  2.0   0.1688
 4.50  7750. -2.0  2.0   0.2991
 4.50  7750. -2.0  2.0   0.0078
 5.00  7750. -2.0  2.0   0.1721
 5.00  7750. -2.0  2.0   0.2954
 5.00  7750. -2.0  2.0   0.0071
 1.00  8000. -2.0  2.0   0.2262
 1.00  8000. -2.0  2.0   0.3029
 1.00  8000. -2.0  2.0   0.0131
 1.50  8000. -2.0  2.0   0.2161
 1.50  8000. -2.0  2.0   0.2933
 1.50  8000. -2.0  2.0   0.0122
 2.00  8000. -2.0  2.0   0.2203
 2.00  8000. -2.0  2.0   0.2758
 2.00  8000. -2.0  2.0   0.0099
 2.50  8000. -2.0  2.0   0.2287
 2.50  8000. -2.0  2.0   0.2584
 2.50  8000. -2.0  2.0   0.0076
 3.00  8000. -2.0  2.0   0.2390
 3.00  8000. -2.0  2.0   0.2423
 3.00  8000. -2.0  2.0   0.0057
 3.50  8000. -2.0  2.0   0.2319
 3.50  8000. -2.0  2.0   0.2462
 3.50  8000. -2.0  2.0   0.0047
 4.00  8000. -2.0  2.0   0.1885
 4.00  8000. -2.0  2.0   0.2780
 4.00  8000. -2.0  2.0   0.0077
 4.50  8000. -2.0  2.0   0.1519
 4.50  8000. -2.0  2.0   0.3046
 4.50  8000. -2.0  2.0   0.0103
 5.00  8000. -2.0  2.0   0.1587
 5.00  8000. -2.0  2.0   0.3010
 5.00  8000. -2.0  2.0   0.0080
 1.50  8250. -2.0  2.0   0.2020
 1.50  8250. -2.0  2.0   0.3009
 1.50  8250. -2.0  2.0   0.0143
 2.00  8250. -2.0  2.0   0.2000
 2.00  8250. -2.0  2.0   0.2872
 2.00  8250. -2.0  2.0   0.0123
 2.50  8250. -2.0  2.0   0.2057
 2.50  8250. -2.0  2.0   0.2715
 2.50  8250. -2.0  2.0   0.0098
 3.00  8250. -2.0  2.0   0.2154
 3.00  8250. -2.0  2.0   0.2557
 3.00  8250. -2.0  2.0   0.0076
 3.50  8250. -2.0  2.0   0.2252
 3.50  8250. -2.0  2.0   0.2424
 3.50  8250. -2.0  2.0   0.0058
 4.00  8250. -2.0  2.0   0.2103
 4.00  8250. -2.0  2.0   0.2560
 4.00  8250. -2.0  2.0   0.0052
 4.50  8250. -2.0  2.0   0.1619
 4.50  8250. -2.0  2.0   0.2936
 4.50  8250. -2.0  2.0   0.0087
 5.00  8250. -2.0  2.0   0.1406
 5.00  8250. -2.0  2.0   0.3075
 5.00  8250. -2.0  2.0   0.0106
 1.50  8500. -2.0  2.0   0.1936
 1.50  8500. -2.0  2.0   0.3038
 1.50  8500. -2.0  2.0   0.0157
 2.00  8500. -2.0  2.0   0.1865
 2.00  8500. -2.0  2.0   0.2921
 2.00  8500. -2.0  2.0   0.0142
 2.50  8500. -2.0  2.0   0.1889
 2.50  8500. -2.0  2.0   0.2782
 2.50  8500. -2.0  2.0   0.0117
 3.00  8500. -2.0  2.0   0.1960
 3.00  8500. -2.0  2.0   0.2647
 3.00  8500. -2.0  2.0   0.0094
 3.50  8500. -2.0  2.0   0.2049
 3.50  8500. -2.0  2.0   0.2522
 3.50  8500. -2.0  2.0   0.0074
 4.00  8500. -2.0  2.0   0.2125
 4.00  8500. -2.0  2.0   0.2434
 4.00  8500. -2.0  2.0   0.0058
 4.50  8500. -2.0  2.0   0.1852
 4.50  8500. -2.0  2.0   0.2690
 4.50  8500. -2.0  2.0   0.0062
 5.00  8500. -2.0  2.0   0.1441
 5.00  8500. -2.0  2.0   0.3019
 5.00  8500. -2.0  2.0   0.0091
 2.00  8750. -2.0  2.0   0.1777
 2.00  8750. -2.0  2.0   0.2935
 2.00  8750. -2.0  2.0   0.0153
 2.50  8750. -2.0  2.0   0.1770
 2.50  8750. -2.0  2.0   0.2805
 2.50  8750. -2.0  2.0   0.0131
 3.00  8750. -2.0  2.0   0.1809
 3.00  8750. -2.0  2.0   0.2693
 3.00  8750. -2.0  2.0   0.0108
 3.50  8750. -2.0  2.0   0.1880
 3.50  8750. -2.0  2.0   0.2587
 3.50  8750. -2.0  2.0   0.0089
 4.00  8750. -2.0  2.0   0.1957
 4.00  8750. -2.0  2.0   0.2490
 4.00  8750. -2.0  2.0   0.0073
 4.50  8750. -2.0  2.0   0.1973
 4.50  8750. -2.0  2.0   0.2484
 4.50  8750. -2.0  2.0   0.0059
 5.00  8750. -2.0  2.0   0.1601
 5.00  8750. -2.0  2.0   0.2831
 5.00  8750. -2.0  2.0   0.0073
 2.00  9000. -2.0  2.0   0.1749
 2.00  9000. -2.0  2.0   0.2910
 2.00  9000. -2.0  2.0   0.0162
 2.50  9000. -2.0  2.0   0.1711
 2.50  9000. -2.0  2.0   0.2781
 2.50  9000. -2.0  2.0   0.0141
 3.00  9000. -2.0  2.0   0.1733
 3.00  9000. -2.0  2.0   0.2669
 3.00  9000. -2.0  2.0   0.0120
 3.50  9000. -2.0  2.0   0.1776
 3.50  9000. -2.0  2.0   0.2585
 3.50  9000. -2.0  2.0   0.0102
 4.00  9000. -2.0  2.0   0.1835
 4.00  9000. -2.0  2.0   0.2510
 4.00  9000. -2.0  2.0   0.0087
 4.50  9000. -2.0  2.0   0.1910
 4.50  9000. -2.0  2.0   0.2424
 4.50  9000. -2.0  2.0   0.0074
 5.00  9000. -2.0  2.0   0.1982
 5.00  9000. -2.0  2.0   0.2337
 5.00  9000. -2.0  2.0   0.0064
 2.00  9250. -2.0  2.0   0.1699
 2.00  9250. -2.0  2.0   0.2919
 2.00  9250. -2.0  2.0   0.0167
 2.50  9250. -2.0  2.0   0.1654
 2.50  9250. -2.0  2.0   0.2772
 2.50  9250. -2.0  2.0   0.0146
 3.00  9250. -2.0  2.0   0.1652
 3.00  9250. -2.0  2.0   0.2663
 3.00  9250. -2.0  2.0   0.0125
 3.50  9250. -2.0  2.0   0.1681
 3.50  9250. -2.0  2.0   0.2583
 3.50  9250. -2.0  2.0   0.0109
 4.00  9250. -2.0  2.0   0.1718
 4.00  9250. -2.0  2.0   0.2529
 4.00  9250. -2.0  2.0   0.0096
 4.50  9250. -2.0  2.0   0.1772
 4.50  9250. -2.0  2.0   0.2468
 4.50  9250. -2.0  2.0   0.0085
 5.00  9250. -2.0  2.0   0.1833
 5.00  9250. -2.0  2.0   0.2395
 5.00  9250. -2.0  2.0   0.0075
 2.00  9500. -2.0  2.0   0.1659
 2.00  9500. -2.0  2.0   0.2929
 2.00  9500. -2.0  2.0   0.0170
 2.50  9500. -2.0  2.0   0.1601
 2.50  9500. -2.0  2.0   0.2773
 2.50  9500. -2.0  2.0   0.0150
 3.00  9500. -2.0  2.0   0.1593
 3.00  9500. -2.0  2.0   0.2654
 3.00  9500. -2.0  2.0   0.0128
 3.50  9500. -2.0  2.0   0.1609
 3.50  9500. -2.0  2.0   0.2573
 3.50  9500. -2.0  2.0   0.0113
 4.00  9500. -2.0  2.0   0.1631
 4.00  9500. -2.0  2.0   0.2524
 4.00  9500. -2.0  2.0   0.0102
 4.50  9500. -2.0  2.0   0.1663
 4.50  9500. -2.0  2.0   0.2485
 4.50  9500. -2.0  2.0   0.0093
 5.00  9500. -2.0  2.0   0.1708
 5.00  9500. -2.0  2.0   0.2432
 5.00  9500. -2.0  2.0   0.0085
 2.00  9750. -2.0  2.0   0.1621
 2.00  9750. -2.0  2.0   0.2941
 2.00  9750. -2.0  2.0   0.0174
 2.50  9750. -2.0  2.0   0.1555
 2.50  9750. -2.0  2.0   0.2775
 2.50  9750. -2.0  2.0   0.0154
 3.00  9750. -2.0  2.0   0.1542
 3.00  9750. -2.0  2.0   0.2647
 3.00  9750. -2.0  2.0   0.0131
 3.50  9750. -2.0  2.0   0.1550
 3.50  9750. -2.0  2.0   0.2563
 3.50  9750. -2.0  2.0   0.0115
 4.00  9750. -2.0  2.0   0.1565
 4.00  9750. -2.0  2.0   0.2511
 4.00  9750. -2.0  2.0   0.0105
 4.50  9750. -2.0  2.0   0.1578
 4.50  9750. -2.0  2.0   0.2484
 4.50  9750. -2.0  2.0   0.0099
 5.00  9750. -2.0  2.0   0.1605
 5.00  9750. -2.0  2.0   0.2452
 5.00  9750. -2.0  2.0   0.0092
 2.00 10000. -2.0  2.0   0.1582
 2.00 10000. -2.0  2.0   0.2957
 2.00 10000. -2.0  2.0   0.0178
 2.50 10000. -2.0  2.0   0.1512
 2.50 10000. -2.0  2.0   0.2780
 2.50 10000. -2.0  2.0   0.0157
 3.00 10000. -2.0  2.0   0.1499
 3.00 10000. -2.0  2.0   0.2641
 3.00 10000. -2.0  2.0   0.0134
 3.50 10000. -2.0  2.0   0.1502
 3.50 10000. -2.0  2.0   0.2551
 3.50 10000. -2.0  2.0   0.0117
 4.00 10000. -2.0  2.0   0.1512
 4.00 10000. -2.0  2.0   0.2498
 4.00 10000. -2.0  2.0   0.0107
 4.50 10000. -2.0  2.0   0.1514
 4.50 10000. -2.0  2.0   0.2474
 4.50 10000. -2.0  2.0   0.0101
 5.00 10000. -2.0  2.0   0.1524
 5.00 10000. -2.0  2.0   0.2456
 5.00 10000. -2.0  2.0   0.0097
 2.00 10500. -2.0  2.0   0.1516
 2.00 10500. -2.0  2.0   0.2982
 2.00 10500. -2.0  2.0   0.0187
 2.50 10500. -2.0  2.0   0.1434
 2.50 10500. -2.0  2.0   0.2788
 2.50 10500. -2.0  2.0   0.0163
 3.00 10500. -2.0  2.0   0.1423
 3.00 10500. -2.0  2.0   0.2629
 3.00 10500. -2.0  2.0   0.0138
 3.50 10500. -2.0  2.0   0.1423
 3.50 10500. -2.0  2.0   0.2531
 3.50 10500. -2.0  2.0   0.0119
 4.00 10500. -2.0  2.0   0.1429
 4.00 10500. -2.0  2.0   0.2474
 4.00 10500. -2.0  2.0   0.0109
 4.50 10500. -2.0  2.0   0.1425
 4.50 10500. -2.0  2.0   0.2447
 4.50 10500. -2.0  2.0   0.0104
 5.00 10500. -2.0  2.0   0.1417
 5.00 10500. -2.0  2.0   0.2433
 5.00 10500. -2.0  2.0   0.0102
 2.50 11000. -2.0  2.0   0.1366
 2.50 11000. -2.0  2.0   0.2794
 2.50 11000. -2.0  2.0   0.0171
 3.00 11000. -2.0  2.0   0.1357
 3.00 11000. -2.0  2.0   0.2616
 3.00 11000. -2.0  2.0   0.0141
 3.50 11000. -2.0  2.0   0.1360
 3.50 11000. -2.0  2.0   0.2507
 3.50 11000. -2.0  2.0   0.0121
 4.00 11000. -2.0  2.0   0.1362
 4.00 11000. -2.0  2.0   0.2447
 4.00 11000. -2.0  2.0   0.0110
 4.50 11000. -2.0  2.0   0.1357
 4.50 11000. -2.0  2.0   0.2419
 4.50 11000. -2.0  2.0   0.0105
 5.00 11000. -2.0  2.0   0.1343
 5.00 11000. -2.0  2.0   0.2406
 5.00 11000. -2.0  2.0   0.0103
 2.50 11500. -2.0  2.0   0.1308
 2.50 11500. -2.0  2.0   0.2796
 2.50 11500. -2.0  2.0   0.0178
 3.00 11500. -2.0  2.0   0.1299
 3.00 11500. -2.0  2.0   0.2602
 3.00 11500. -2.0  2.0   0.0145
 3.50 11500. -2.0  2.0   0.1303
 3.50 11500. -2.0  2.0   0.2482
 3.50 11500. -2.0  2.0   0.0122
 4.00 11500. -2.0  2.0   0.1307
 4.00 11500. -2.0  2.0   0.2416
 4.00 11500. -2.0  2.0   0.0110
 4.50 11500. -2.0  2.0   0.1302
 4.50 11500. -2.0  2.0   0.2387
 4.50 11500. -2.0  2.0   0.0104
 5.00 11500. -2.0  2.0   0.1286
 5.00 11500. -2.0  2.0   0.2378
 5.00 11500. -2.0  2.0   0.0103
 2.50 12000. -2.0  2.0   0.1260
 2.50 12000. -2.0  2.0   0.2796
 2.50 12000. -2.0  2.0   0.0186
 3.00 12000. -2.0  2.0   0.1245
 3.00 12000. -2.0  2.0   0.2590
 3.00 12000. -2.0  2.0   0.0150
 3.50 12000. -2.0  2.0   0.1249
 3.50 12000. -2.0  2.0   0.2459
 3.50 12000. -2.0  2.0   0.0124
 4.00 12000. -2.0  2.0   0.1256
 4.00 12000. -2.0  2.0   0.2386
 4.00 12000. -2.0  2.0   0.0109
 4.50 12000. -2.0  2.0   0.1255
 4.50 12000. -2.0  2.0   0.2352
 4.50 12000. -2.0  2.0   0.0103
 5.00 12000. -2.0  2.0   0.1240
 5.00 12000. -2.0  2.0   0.2344
 5.00 12000. -2.0  2.0   0.0102
 2.50 12500. -2.0  2.0   0.1219
 2.50 12500. -2.0  2.0   0.2800
 2.50 12500. -2.0  2.0   0.0194
 3.00 12500. -2.0  2.0   0.1200
 3.00 12500. -2.0  2.0   0.2574
 3.00 12500. -2.0  2.0   0.0154
 3.50 12500. -2.0  2.0   0.1205
 3.50 12500. -2.0  2.0   0.2432
 3.50 12500. -2.0  2.0   0.0125
 4.00 12500. -2.0  2.0   0.1215
 4.00 12500. -2.0  2.0   0.2350
 4.00 12500. -2.0  2.0   0.0109
 4.50 12500. -2.0  2.0   0.1215
 4.50 12500. -2.0  2.0   0.2314
 4.50 12500. -2.0  2.0   0.0102
 5.00 12500. -2.0  2.0   0.1202
 5.00 12500. -2.0  2.0   0.2306
 5.00 12500. -2.0  2.0   0.0100
 2.50 13000. -2.0  2.0   0.1184
 2.50 13000. -2.0  2.0   0.2807
 2.50 13000. -2.0  2.0   0.0200
 3.00 13000. -2.0  2.0   0.1162
 3.00 13000. -2.0  2.0   0.2562
 3.00 13000. -2.0  2.0   0.0158
 3.50 13000. -2.0  2.0   0.1168
 3.50 13000. -2.0  2.0   0.2404
 3.50 13000. -2.0  2.0   0.0126
 4.00 13000. -2.0  2.0   0.1177
 4.00 13000. -2.0  2.0   0.2316
 4.00 13000. -2.0  2.0   0.0109
 4.50 13000. -2.0  2.0   0.1179
 4.50 13000. -2.0  2.0   0.2276
 4.50 13000. -2.0  2.0   0.0100
 5.00 13000. -2.0  2.0   0.1164
 5.00 13000. -2.0  2.0   0.2270
 5.00 13000. -2.0  2.0   0.0098
 2.00 14000. -2.0  2.0   0.1335
 2.00 14000. -2.0  2.0   0.3146
 2.00 14000. -2.0  2.0   0.0233
 2.50 14000. -2.0  2.0   0.1123
 2.50 14000. -2.0  2.0   0.2835
 2.50 14000. -2.0  2.0   0.0213
 3.00 14000. -2.0  2.0   0.1097
 3.00 14000. -2.0  2.0   0.2547
 3.00 14000. -2.0  2.0   0.0166
 3.50 14000. -2.0  2.0   0.1102
 3.50 14000. -2.0  2.0   0.2362
 3.50 14000. -2.0  2.0   0.0129
 4.00 14000. -2.0  2.0   0.1113
 4.00 14000. -2.0  2.0   0.2253
 4.00 14000. -2.0  2.0   0.0107
 4.50 14000. -2.0  2.0   0.1115
 4.50 14000. -2.0  2.0   0.2204
 4.50 14000. -2.0  2.0   0.0097
 5.00 14000. -2.0  2.0   0.1103
 5.00 14000. -2.0  2.0   0.2192
 5.00 14000. -2.0  2.0   0.0094
 2.50 15000. -2.0  2.0   0.1083
 2.50 15000. -2.0  2.0   0.2868
 2.50 15000. -2.0  2.0   0.0227
 3.00 15000. -2.0  2.0   0.1042
 3.00 15000. -2.0  2.0   0.2548
 3.00 15000. -2.0  2.0   0.0175
 3.50 15000. -2.0  2.0   0.1053
 3.50 15000. -2.0  2.0   0.2326
 3.50 15000. -2.0  2.0   0.0133
 4.00 15000. -2.0  2.0   0.1061
 4.00 15000. -2.0  2.0   0.2202
 4.00 15000. -2.0  2.0   0.0108
 4.50 15000. -2.0  2.0   0.1064
 4.50 15000. -2.0  2.0   0.2140
 4.50 15000. -2.0  2.0   0.0095
 5.00 15000. -2.0  2.0   0.1053
 5.00 15000. -2.0  2.0   0.2121
 5.00 15000. -2.0  2.0   0.0090
 2.50 16000. -2.0  2.0   0.1038
 2.50 16000. -2.0  2.0   0.2925
 2.50 16000. -2.0  2.0   0.0240
 3.00 16000. -2.0  2.0   0.0992
 3.00 16000. -2.0  2.0   0.2561
 3.00 16000. -2.0  2.0   0.0185
 3.50 16000. -2.0  2.0   0.1005
 3.50 16000. -2.0  2.0   0.2309
 3.50 16000. -2.0  2.0   0.0137
 4.00 16000. -2.0  2.0   0.1019
 4.00 16000. -2.0  2.0   0.2161
 4.00 16000. -2.0  2.0   0.0109
 4.50 16000. -2.0  2.0   0.1022
 4.50 16000. -2.0  2.0   0.2086
 4.50 16000. -2.0  2.0   0.0094
 5.00 16000. -2.0  2.0   0.1012
 5.00 16000. -2.0  2.0   0.2059
 5.00 16000. -2.0  2.0   0.0088
 2.50 17000. -2.0  2.0   0.1003
 2.50 17000. -2.0  2.0   0.2990
 2.50 17000. -2.0  2.0   0.0256
 3.00 17000. -2.0  2.0   0.0939
 3.00 17000. -2.0  2.0   0.2593
 3.00 17000. -2.0  2.0   0.0197
 3.50 17000. -2.0  2.0   0.0958
 3.50 17000. -2.0  2.0   0.2306
 3.50 17000. -2.0  2.0   0.0143
 4.00 17000. -2.0  2.0   0.0977
 4.00 17000. -2.0  2.0   0.2136
 4.00 17000. -2.0  2.0   0.0110
 4.50 17000. -2.0  2.0   0.0984
 4.50 17000. -2.0  2.0   0.2045
 4.50 17000. -2.0  2.0   0.0094
 5.00 17000. -2.0  2.0   0.0975
 5.00 17000. -2.0  2.0   0.2011
 5.00 17000. -2.0  2.0   0.0087
 2.50 18000. -2.0  2.0   0.0985
 2.50 18000. -2.0  2.0   0.3060
 2.50 18000. -2.0  2.0   0.0273
 3.00 18000. -2.0  2.0   0.0884
 3.00 18000. -2.0  2.0   0.2637
 3.00 18000. -2.0  2.0   0.0214
 3.50 18000. -2.0  2.0   0.0905
 3.50 18000. -2.0  2.0   0.2321
 3.50 18000. -2.0  2.0   0.0153
 4.00 18000. -2.0  2.0   0.0933
 4.00 18000. -2.0  2.0   0.2125
 4.00 18000. -2.0  2.0   0.0115
 4.50 18000. -2.0  2.0   0.0944
 4.50 18000. -2.0  2.0   0.2021
 4.50 18000. -2.0  2.0   0.0096
 5.00 18000. -2.0  2.0   0.0940
 5.00 18000. -2.0  2.0   0.1974
 5.00 18000. -2.0  2.0   0.0087
 2.50 19000. -2.0  2.0   0.0980
 2.50 19000. -2.0  2.0   0.3143
 2.50 19000. -2.0  2.0   0.0286
 3.00 19000. -2.0  2.0   0.0834
 3.00 19000. -2.0  2.0   0.2688
 3.00 19000. -2.0  2.0   0.0233
 3.50 19000. -2.0  2.0   0.0853
 3.50 19000. -2.0  2.0   0.2339
 3.50 19000. -2.0  2.0   0.0166
 4.00 19000. -2.0  2.0   0.0884
 4.00 19000. -2.0  2.0   0.2126
 4.00 19000. -2.0  2.0   0.0122
 4.50 19000. -2.0  2.0   0.0902
 4.50 19000. -2.0  2.0   0.2008
 4.50 19000. -2.0  2.0   0.0100
 5.00 19000. -2.0  2.0   0.0903
 5.00 19000. -2.0  2.0   0.1951
 5.00 19000. -2.0  2.0   0.0089
 3.00 20000. -2.0  2.0   0.0787
 3.00 20000. -2.0  2.0   0.2751
 3.00 20000. -2.0  2.0   0.0254
 3.50 20000. -2.0  2.0   0.0797
 3.50 20000. -2.0  2.0   0.2371
 3.50 20000. -2.0  2.0   0.0181
 4.00 20000. -2.0  2.0   0.0834
 4.00 20000. -2.0  2.0   0.2133
 4.00 20000. -2.0  2.0   0.0132
 4.50 20000. -2.0  2.0   0.0854
 4.50 20000. -2.0  2.0   0.2006
 4.50 20000. -2.0  2.0   0.0105
 5.00 20000. -2.0  2.0   0.0862
 5.00 20000. -2.0  2.0   0.1940
