 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 3.50  4750. -5.0  2.0   0.3532
 3.50  4750. -5.0  2.0   0.0215
 4.00  4750. -5.0  2.0   0.1102
 4.00  4750. -5.0  2.0   0.3866
 4.00  4750. -5.0  2.0   0.0392
 4.50  4750. -5.0  2.0   0.0546
 4.50  4750. -5.0  2.0   0.4009
 4.50  4750. -5.0  2.0   0.0577
 0.00  5000. -5.0  2.0   0.3502
 0.00  5000. -5.0  2.0   0.2141
 0.00  5000. -5.0  2.0   0.0070
 0.50  5000. -5.0  2.0   0.3334
 0.50  5000. -5.0  2.0   0.2255
 0.50  5000. -5.0  2.0   0.0076
 1.00  5000. -5.0  2.0   0.3103
 1.00  5000. -5.0  2.0   0.2438
 1.00  5000. -5.0  2.0   0.0089
 1.50  5000. -5.0  2.0   0.2840
 1.50  5000. -5.0  2.0   0.2660
 1.50  5000. -5.0  2.0   0.0103
 2.00  5000. -5.0  2.0   0.2552
 2.00  5000. -5.0  2.0   0.2916
 2.00  5000. -5.0  2.0   0.0120
 2.50  5000. -5.0  2.0   0.2294
 2.50  5000. -5.0  2.0   0.3146
 2.50  5000. -5.0  2.0   0.0131
 3.00  5000. -5.0  2.0   0.2077
 3.00  5000. -5.0  2.0   0.3321
 3.00  5000. -5.0  2.0   0.0150
 3.50  5000. -5.0  2.0   0.1945
 3.50  5000. -5.0  2.0   0.3407
 3.50  5000. -5.0  2.0   0.0161
 4.00  5000. -5.0  2.0   0.1739
 4.00  5000. -5.0  2.0   0.3492
 4.00  5000. -5.0  2.0   0.0183
 4.50  5000. -5.0  2.0   0.1292
 4.50  5000. -5.0  2.0   0.3718
 4.50  5000. -5.0  2.0   0.0290
 5.00  5000. -5.0  2.0   0.0963
 5.00  5000. -5.0  2.0   0.3741
 5.00  5000. -5.0  2.0   0.0333
 0.00  5250. -5.0  2.0   0.3307
 0.00  5250. -5.0  2.0   0.2249
 0.00  5250. -5.0  2.0   0.0077
 0.50  5250. -5.0  2.0   0.3219
 0.50  5250. -5.0  2.0   0.2294
 0.50  5250. -5.0  2.0   0.0078
 1.00  5250. -5.0  2.0   0.3052
 1.00  5250. -5.0  2.0   0.2421
 1.00  5250. -5.0  2.0   0.0085
 1.50  5250. -5.0  2.0   0.2840
 1.50  5250. -5.0  2.0   0.2600
 1.50  5250. -5.0  2.0   0.0095
 2.00  5250. -5.0  2.0   0.2616
 2.00  5250. -5.0  2.0   0.2805
 2.00  5250. -5.0  2.0   0.0103
 2.50  5250. -5.0  2.0   0.2411
 2.50  5250. -5.0  2.0   0.2990
 2.50  5250. -5.0  2.0   0.0110
 3.00  5250. -5.0  2.0   0.2224
 3.00  5250. -5.0  2.0   0.3155
 3.00  5250. -5.0  2.0   0.0116
 3.50  5250. -5.0  2.0   0.2037
 3.50  5250. -5.0  2.0   0.3295
 3.50  5250. -5.0  2.0   0.0135
 4.00  5250. -5.0  2.0   0.1952
 4.00  5250. -5.0  2.0   0.3345
 4.00  5250. -5.0  2.0   0.0143
 4.50  5250. -5.0  2.0   0.1654
 4.50  5250. -5.0  2.0   0.3504
 4.50  5250. -5.0  2.0   0.0196
 5.00  5250. -5.0  2.0   0.1175
 5.00  5250. -5.0  2.0   0.3748
 5.00  5250. -5.0  2.0   0.0320
 0.00  5500. -5.0  2.0   0.3053
 0.00  5500. -5.0  2.0   0.2428
 0.00  5500. -5.0  2.0   0.0087
 0.50  5500. -5.0  2.0   0.3020
 0.50  5500. -5.0  2.0   0.2414
 0.50  5500. -5.0  2.0   0.0088
 1.00  5500. -5.0  2.0   0.2935
 1.00  5500. -5.0  2.0   0.2468
 1.00  5500. -5.0  2.0   0.0089
 1.50  5500. -5.0  2.0   0.2796
 1.50  5500. -5.0  2.0   0.2579
 1.50  5500. -5.0  2.0   0.0093
 2.00  5500. -5.0  2.0   0.2635
 2.00  5500. -5.0  2.0   0.2727
 2.00  5500. -5.0  2.0   0.0093
 2.50  5500. -5.0  2.0   0.2462
 2.50  5500. -5.0  2.0   0.2888
 2.50  5500. -5.0  2.0   0.0095
 3.00  5500. -5.0  2.0   0.2306
 3.00  5500. -5.0  2.0   0.3026
 3.00  5500. -5.0  2.0   0.0096
 3.50  5500. -5.0  2.0   0.2175
 3.50  5500. -5.0  2.0   0.3139
 3.50  5500. -5.0  2.0   0.0100
 4.00  5500. -5.0  2.0   0.2010
 4.00  5500. -5.0  2.0   0.3250
 4.00  5500. -5.0  2.0   0.0119
 4.50  5500. -5.0  2.0   0.1804
 4.50  5500. -5.0  2.0   0.3366
 4.50  5500. -5.0  2.0   0.0159
 5.00  5500. -5.0  2.0   0.1517
 5.00  5500. -5.0  2.0   0.3535
 5.00  5500. -5.0  2.0   0.0214
 0.00  5750. -5.0  2.0   0.4221
 0.00  5750. -5.0  2.0   0.1423
 0.00  5750. -5.0  2.0   0.0028
 0.50  5750. -5.0  2.0   0.2841
 0.50  5750. -5.0  2.0   0.2566
 0.50  5750. -5.0  2.0   0.0077
 1.00  5750. -5.0  2.0   0.2754
 1.00  5750. -5.0  2.0   0.2575
